id,productId,attributeId
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,2,1
35,2,2
36,2,3
37,2,4
38,2,5
39,2,6
40,2,7
41,2,8
42,2,9
43,2,10
44,2,11
45,2,12
46,2,13
47,2,34
48,2,15
49,2,16
50,2,17
51,2,18
52,2,19
53,2,20
54,2,21
55,2,22
56,2,23
57,2,24
58,2,25
59,2,26
60,2,27
61,2,28
62,2,29
63,2,30
64,2,31
65,2,32
66,3,1
67,3,2
68,3,3
69,3,4
70,3,5
71,3,6
72,3,7
73,3,8
74,3,9
75,3,10
76,3,11
77,3,12
78,3,13
79,3,14
80,3,15
81,3,16
82,3,17
83,3,18
84,3,35
85,3,20
86,3,21
87,3,22
88,3,23
89,3,24
90,3,25
91,3,26
92,3,27
93,3,28
94,3,29
95,3,30
96,3,31
97,3,32
98,3,33
99,4,1
100,4,2
101,4,3
102,4,4
103,4,5
104,4,6
105,4,7
106,4,8
107,4,9
108,4,10
109,4,11
110,4,12
111,4,14
112,4,15
113,4,16
114,4,17
115,4,18
116,4,35
117,4,19
118,4,20
119,4,21
120,4,22
121,4,23
122,4,24
123,4,25
124,4,26
125,4,27
126,4,28
127,4,29
128,4,30
129,4,31
130,4,32
131,5,1
132,5,2
133,5,3
134,5,4
135,5,5
136,5,6
137,5,7
138,5,8
139,5,9
140,5,10
141,5,11
142,5,12
143,5,13
144,5,14
145,5,15
146,5,16
147,5,17
148,5,18
149,5,35
150,5,19
151,5,20
152,5,21
153,5,22
154,5,23
155,5,26
156,5,27
157,5,28
158,5,29
159,5,30
160,5,31
161,5,32
162,5,33
163,6,1
164,6,2
165,6,3
166,6,4
